"5185920","カベキック","カベキック","a","20140101000000"
"5185924","電波°","デンパ","a","20140101000655"
"5185935","はっせーP","ハッセーピー","l","20140101005003"
"5185936","ニコニコ超パーティーⅢ","ニコニコチョウパーティースリー","a","20140101005730"
"5185949","サプレッサー","サプレッサー","a","20140101014212"
"5185950","コミックマーケット86","コミックマーケットハチジュウロク","a","20140101014306"
"5185960","100万再生達成動画の一覧(2013年分その4)","ヒャクマンサイセイタッセイドウガノイチランニセンジュウサンネンブンソノヨン","a","20140101021501"
"5185975","ながみー","ナガミー","l","20140101030012"
"5185984","古代魚","コダイギョ","a","20140101031750"
"5185989","WBC(艦これ)","イチジカンハンノアクム","a","20140101035508"
"5186019","200万再生達成動画の一覧(2013年分)","ニヒャクマンサイセイタッセイドウガノイチランニセンジュウサンネンブン","a","20140101073714"
"5186022","上田麗奈","ウエダレイナ","a","20140101081231"
"5186023","エリート塩","アセ","a","20140101082308"
"5186029","魔王龍 ベエルゼ","マオウリュウベエルゼ","a","20140101090200"
"5186034","宝札","ホウサツ","a","20140101092956"
"5186037","VOCALOID殿堂入りの一覧:その8","ボーカロイドデンドウイリノイチランソノハチ","a","20140101095321"
"5186040","生活まとめ.com","セイカツマトメドットコム","a","20140101101231"
"5186071","オタクボックス","オタクボックス","a","20140101134417"
"5186076","ニコニコ自作ゲームフェス3","ニコニコジサクゲームフェススリー","a","20140101140055"
"5186081","ガンダムサダルスード","ガンダムサダルスード","a","20140101141504"
"5186087","ぴくと","ピクト","a","20140101144107"
"5186096","ガンダムアブルホール","ガンダムアブルホール","a","20140101150628"
"5186104","六甲北有料道路","ロッコウキタユウリョウドウロ","a","20140101155151"
"5186109","としくん(と4ね)","トシクンカッコトシネ","l","20140101162559"
"5186114","モブ子","モブコ","a","20140101165010"
"5186128","ウィンダム(ms)","ウィンダムモビルスーツ","a","20140101174227"
"5186130","【合作】ニコニコ動画削除絵巻【お消去月】",\N,"v","20140101180505"
"5186131","正体不明が現代入り","ショウタイフメイガゲンダイイリ","a","20140101181526"
"5186152","さや(gdgd放送局)","サヤ","l","20140101193823"
"5186160","森と神社と竹林とその周辺(人里含む)","モリトジンジャトチクリントソノシュウヘンヒトザトフクム","a","20140101195425"
"5186171","おふれのせきしつ","オフレノセキシツ","a","20140101205253"
"5186189","P226","ピイニニロク","a","20140101215040"
"5186197","あなたは違う","アナタハチガウ","a","20140101221938"
"5186203","グヘ、グヘ、グヘヘヘェーッ!","グヘグヘグヘヘヘェーッ","a","20140101223656"
"5186224","金銀厨","キンギンチュウ","a","20140101232625"
"5186249","Sigmund(BEMANI)","シグムンド","a","20140102002936"
"5186253","藍藤♂","アッーイフジ","a","20140102003305"
"5186255","回転寿司","カイテンズシ","a","20140102004417"
"5186270","凪音うい","ナギネウイ","a","20140102012013"
"5186299","DRUGSTORE","ドラッグストア","a","20140102025018"
"5186302","VVAN姉貴","ビビアンアネキ","a","20140102025845"
"5186319","太田今日子","オオタキョウコ","a","20140102035644"
"5186353","劣化もこう","レッカモコウ","a","20140102091214"
"5186363","あなろぐ部","アナログブ","a","20140102104535"
"5186364","グラニースミスの孫","グラニースミスノマゴ","a","20140102105155"
"5186366","サムネホワイトウォール","サムネホワイトウォール","a","20140102110437"
"5186384","ビーカー","ビーカー","a","20140102123954"
"5186398","+plusゲーム","プラスゲーム","a","20140102135624"
"5186416","モブキャップ","モブキャップ","a","20140102152622"
"5186424","この道わが旅","コノミチワガタビ","a","20140102160107"
"5186433","カレー","カレー","l","20140102163938"
"5186442","上弦の月歌ってみたランキング",\N,"v","20140102171711"
"5186450","それがあなたの幸せとしても歌ってみたランキング #2",\N,"v","20140102173511"
"5186452","小鶴誠","コヅルマコト","a","20140102174934"
"5186454","自傷無色歌ってみたランキング",\N,"v","20140102175155"
"5186460","あなたの歌姫歌ってみたランキング",\N,"v","20140102183152"
"5186465","はげわら速報","ハゲワラソクホウ","a","20140102185130"
"5186481","準快速","ジュンカイソク","a","20140102194603"
"5186497","テニスの王女様","テニスノオウジョサマ","a","20140102205444"
